
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2012-05-16;23.121,50;2919789405390;23.786,61;2665471989079;23.821,06;3811049620277;23.108,06;85337205870;23.527,82;322991686975;22.904,44;3647711504335
2012-05-17;23.027,54;2907172512369;23.709,07;2655503636855;23.736,30;3794565221389;23.015,34;85230043528;23.423,18;321617961894;22.811,58;3635994959590
2012-05-18;22.939,83;2895099892741;23.621,63;2642265745874;23.650,88;3777507614915;22.930,79;84718355444;23.336,36;320471996361;22.729,92;3622225857637
2012-05-19;22.939,83;2895099892741;23.621,63;2642265745874;23.650,88;3777507614915;22.930,79;84718355444;23.336,36;320471996361;22.729,92;3622225857637
2012-05-20;22.939,83;2895099892741;23.621,63;2642265745874;23.650,88;3777507614915;22.930,79;84718355444;23.336,36;320471996361;22.729,92;3622225857637
2012-05-21;22.939,83;2895099892741;23.621,63;2642265745874;23.650,88;3777507614915;22.930,79;84718355444;23.336,36;320471996361;22.729,92;3622225857637
2012-05-22;22.867,61;2881515311172;23.538,04;2626403583978;23.574,64;3760292773288;22.863,50;84424632194;23.267,68;319340510827;22.663,19;3609886910618
2012-05-23;22.885,17;2880175694747;23.553,58;2622741496041;23.590,45;3756992400518;22.908,31;84452623950;23.304,04;319690822221;22.673,23;3609604834329
2012-05-24;22.756,86;2855745819572;23.423,95;2594053778384;23.456,54;3721461818861;22.736,04;83822273796;23.160,00;317656267266;22.555,21;3586892226972
2012-05-25;22.804,80;2854718805017;23.477,17;2587206549267;23.509,77;3718257046354;22.810,67;84346663897;23.207,44;318164290695;22.601,77;3591531138321
2012-05-26;22.804,80;2854718805017;23.477,17;2587206549267;23.509,77;3718257046354;22.810,67;84346663897;23.207,44;318164290695;22.601,77;3591531138321
2012-05-27;22.804,80;2854718805017;23.477,17;2587206549267;23.509,77;3718257046354;22.810,67;84346663897;23.207,44;318164290695;22.601,77;3591531138321
2012-05-28;22.878,78;2861137190126;23.554,05;2590422457760;23.585,90;3724004772096;22.851,46;84666868651;23.261,54;318864718188;22.667,17;3599419265692
2012-05-29;22.943,48;2865939405802;23.628,26;2593728188211;23.653,10;3727752263968;22.917,00;84929218355;23.321,91;319654593447;22.730,98;3607500871922
2012-05-30;23.106,61;2883595402916;23.796,83;2606244807199;23.816,43;3746956930604;23.086,30;86578518819;23.493,75;321939390450;22.901,99;3632903314897
2012-05-31;23.058,55;2868575695032;23.735,69;2594275320534;23.750,08;3723595867929;23.011,82;86375814778;23.433,88;320253801890;22.847,31;3609451280021
2012-06-01;23.096,34;2867619683801;23.774,77;2595257174290;23.781,79;3724822689230;23.055,84;87678809622;23.471,64;318622926778;22.886,65;3608675149435
2012-06-02;23.096,34;2867619683801;23.774,77;2595257174290;23.781,79;3724822689230;23.055,84;87678809622;23.471,64;318622926778;22.886,65;3608675149435
2012-06-03;23.096,34;2867619683801;23.774,77;2595257174290;23.781,79;3724822689230;23.055,84;87678809622;23.471,64;318622926778;22.886,65;3608675149435
2012-06-04;22.929,40;2844478686811;23.609,79;2572398228188;23.620,21;3693322193528;22.898,77;87122770279;23.311,43;319393883932;22.722,73;3581353063497
2012-06-05;22.724,85;2815259912080;23.403,00;2544689228915;23.418,80;3656923781818;22.702,42;86562770683;23.115,41;316572399170;22.524,76;3548773765456
2012-06-06;22.707,36;2809989239069;23.382,06;2537916693050;23.386,61;3646520356594;22.684,06;86698149965;23.097,21;316225081649;22.500,24;3542753834160
2012-06-07;22.835,07;2822440183454;23.518,39;2545056587406;23.529,86;3662527802231;22.844,57;87105818372;23.240,80;318135106231;22.638,61;3562951950821
2012-06-08;22.823,32;2817213276689;23.510,77;2539826488062;23.518,01;3655798393512;22.857,12;87294175970;23.240,65;317893016010;22.625,91;3559418077968
2012-06-09;22.823,32;2817213276689;23.510,77;2539826488062;23.518,01;3655798393512;22.857,12;87294175970;23.240,65;317893016010;22.625,91;3559418077968
2012-06-10;22.823,32;2817213276689;23.510,77;2539826488062;23.518,01;3655798393512;22.857,12;87294175970;23.240,65;317893016010;22.625,91;3559418077968
2012-06-11;22.884,11;2822184034235;23.576,19;2541163774594;23.565,77;3659092738602;22.883,57;87529427697;23.283,16;318329294514;22.685,44;3567651614821
2012-06-12;22.855,05;2815493331388;23.542,60;2529983165827;23.534,97;3646314203306;22.869,81;87892760883;23.277,09;318277329179;22.649,38;3559921200571
2012-06-13;22.908,59;2822107834947;23.603,46;2532750293838;23.586,27;3652528282390;22.928,34;89100450908;23.326,81;319225445814;22.717,66;3571894067295
2012-06-14;22.849,83;2818193253938;23.539,29;2526760500067;23.519,81;3647160484085;22.869,99;91133526193;23.269,99;318672250883;22.648,89;3569633833481
2012-06-15;22.846,48;2812826157887;23.543,89;2524819866562;23.521,68;3651557318524;22.872,79;94190778938;23.273,74;316021754480;22.658,48;3567126103938
2012-06-16;22.846,48;2812826157887;23.543,89;2524819866562;23.521,68;3651557318524;22.872,79;94190778938;23.273,74;316021754480;22.658,48;3567126103938
2012-06-17;22.846,48;2812826157887;23.543,89;2524819866562;23.521,68;3651557318524;22.872,79;94190778938;23.273,74;316021754480;22.658,48;3567126103938
2012-06-18;22.953,62;2824487931107;23.650,06;2532889745812;23.632,45;3666263227359;22.992,07;94707447588;23.385,42;317456350411;22.769,09;3583685193673
2012-06-19;23.038,57;2832927751376;23.739,72;2539660613270;23.713,52;3675177287412;23.077,45;94938349703;23.466,35;320762193558;22.855,17;3595629262725
