
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2012-04-04;25.904,78;3334534162376;26.858,05;3600274823578;27.184,62;3441008010656;26.913,64;35308094294;25.766,18;283292516121;27.015,82;3470784632098
2012-04-05;25.693,45;3292863365026;26.646,97;3541831761989;26.967,80;3386732010249;26.664,39;34164215170;25.551,27;280934111457;26.796,67;3427654105547
2012-04-06;25.693,45;3292863365026;26.646,97;3541831761989;26.967,80;3386732010249;26.664,39;34164215170;25.551,27;280934111457;26.796,67;3427654105547
2012-04-07;25.693,45;3292863365026;26.646,97;3541831761989;26.967,80;3386732010249;26.664,39;34164215170;25.551,27;280934111457;26.796,67;3427654105547
2012-04-08;25.693,45;3292863365026;26.646,97;3541831761989;26.967,80;3386732010249;26.664,39;34164215170;25.551,27;280934111457;26.796,67;3427654105547
2012-04-09;25.735,07;3297140783007;26.682,37;3544312384111;27.007,63;3391476090528;26.710,48;34031878990;25.581,25;281210707296;26.828,69;3427878718926
2012-04-10;25.631,97;3284505747860;26.590,36;3533154021980;26.920,69;3383163482832;26.607,40;33922323389;25.496,67;280367914533;26.730,71;3414557847831
2012-04-11;25.397,31;3255745685450;26.340,97;3500503576791;26.673,46;3352373675476;26.391,35;33703046205;25.274,05;278146212979;26.475,45;3381605470579
2012-04-12;25.414,14;3261107288453;26.359,70;3506821403859;26.691,63;3358913379135;26.413,64;33913518958;25.283,84;278490591909;26.486,10;3385368777027
2012-04-13;25.494,33;3278016699418;26.433,58;3522498844756;26.771,79;3375833946042;26.534,13;34386862696;25.364,58;280083581848;26.566,61;3402893012358
2012-04-14;25.494,33;3278016699418;26.433,58;3522498844756;26.771,79;3375833946042;26.534,13;34386862696;25.364,58;280083581848;26.566,61;3402893012358
