
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2012-05-13;26.233,89;1149340680304;27.712,16;1649137446641;24.840,72;1583708670805;28.167,23;34707387413;43.887,68;98487494976;25.457,51;1118896579294
2012-05-14;26.237,92;1150913305981;27.719,94;1658667224560;24.847,68;1589964212767;28.176,50;34943903793;43.896,62;98272076287;25.460,00;1122048351891
2012-05-15;26.298,52;1155199614395;27.768,80;1671782684429;24.914,03;1614153582338;28.215,38;36675420823;44.005,56;97719628247;25.529,98;1132383477580
2012-05-16;26.306,59;1158514953410;27.776,22;1679327490767;24.922,59;1622187144362;28.218,54;36775558828;44.017,50;98395099917;25.534,09;1136601371875
2012-05-17;26.325,51;1161834751638;27.795,00;1685631251142;24.932,34;1632672100087;28.228,42;36157950543;44.039,00;98586883595;25.534,64;1138572701259
2012-05-18;26.364,00;1168595729348;27.839,97;1702011887510;24.987,99;1654164368663;28.273,98;36359701780;44.125,45;99213619973;25.596,09;1147406016817
2012-05-19;26.364,00;1168595729348;27.839,97;1702011887510;24.987,99;1654164368663;28.273,98;36359701780;44.125,45;99213619973;25.596,09;1147406016817
2012-05-20;26.364,00;1168595729348;27.839,97;1702011887510;24.987,99;1654164368663;28.273,98;36359701780;44.125,45;99213619973;25.596,09;1147406016817
2012-05-21;26.364,00;1168595729348;27.839,97;1702011887510;24.987,99;1654164368663;28.273,98;36359701780;44.125,45;99213619973;25.596,09;1147406016817
2012-05-22;26.373,42;1182058485934;27.850,89;1719679857258;24.999,18;1674658527269;28.283,26;36465994606;44.140,67;99541870207;25.607,56;1154257420155
2012-05-23;26.354,27;1192500134598;27.816,52;1737232666106;24.969,35;1694877969914;28.258,91;36865970391;44.091,87;99787490856;25.581,93;1159423844998
2012-05-24;26.372,01;1214721001259;27.847,74;1779909629136;25.002,51;1740917090370;28.269,28;37700201607;44.134,92;100535234865;25.613,18;1178807049066
2012-05-25;26.381,76;1237065571210;27.864,59;1826571150126;25.012,14;1779849635625;28.305,40;38034260711;44.151,57;101331023727;25.619,53;1191903242007
2012-05-26;26.381,76;1237065571210;27.864,59;1826571150126;25.012,14;1779849635625;28.305,40;38034260711;44.151,57;101331023727;25.619,53;1191903242007
2012-05-27;26.381,76;1237065571210;27.864,59;1826571150126;25.012,14;1779849635625;28.305,40;38034260711;44.151,57;101331023727;25.619,53;1191903242007
